timestamp,epoch,in_sample,accuracy,loss
2020-12-22 17:26:32.002804,0,in_sample,0.52,0.2496
2020-12-22 17:26:32.132805,0,in_sample,0.56,0.2461
2020-12-22 17:26:32.269334,0,in_sample,0.36,0.307
2020-12-22 17:26:32.408335,0,in_sample,0.41,0.2575
2020-12-22 17:26:32.534854,0,in_sample,0.43,0.2525
2020-12-22 17:26:32.663852,0,in_sample,0.46,0.2511
2020-12-22 17:26:32.790853,0,in_sample,0.49,0.2502
2020-12-22 17:26:32.926854,0,in_sample,0.5,0.2501
2020-12-22 17:26:33.082854,0,in_sample,0.48,0.2501
2020-12-22 17:26:33.226853,0,in_sample,0.59,0.2497
2020-12-22 17:26:33.376854,0,in_sample,0.53,0.2499
2020-12-22 17:26:33.521857,0,in_sample,0.51,0.2502
2020-12-22 17:26:33.652852,0,in_sample,0.58,0.2497
2020-12-22 17:26:33.789855,0,in_sample,0.48,0.25
2020-12-22 17:26:33.914925,0,in_sample,0.56,0.2495
2020-12-22 17:26:34.043925,0,in_sample,0.54,0.2494
2020-12-22 17:26:34.178926,0,in_sample,0.52,0.2495
2020-12-22 17:26:34.309928,0,in_sample,0.54,0.2491
2020-12-22 17:26:34.439929,0,in_sample,0.52,0.2491
2020-12-22 17:26:34.569927,0,in_sample,0.48,0.2499
2020-12-22 17:26:34.694928,0,in_sample,0.49,0.2511
2020-12-22 17:26:34.837926,0,in_sample,0.51,0.2498
2020-12-22 17:26:34.960927,0,in_sample,0.5,0.2505
2020-12-22 17:26:35.100458,0,in_sample,0.49,0.2506
2020-12-22 17:26:35.234459,0,in_sample,0.43,0.2553
2020-12-22 17:26:35.370457,0,in_sample,0.5,0.2499
2020-12-22 17:26:35.512457,0,in_sample,0.47,0.2502
2020-12-22 17:26:35.645969,0,in_sample,0.52,0.2506
2020-12-22 17:26:35.780969,0,in_sample,0.63,0.249
2020-12-22 17:26:35.924969,0,in_sample,0.57,0.2493
2020-12-22 17:26:36.057969,0,in_sample,0.54,0.2495
2020-12-22 17:26:36.195969,0,in_sample,0.56,0.2493
2020-12-22 17:26:36.315971,0,in_sample,0.67,0.2476
2020-12-22 17:26:36.446969,0,in_sample,0.43,0.2512
2020-12-22 17:26:36.579971,0,in_sample,0.55,0.2493
2020-12-22 17:26:36.724969,0,in_sample,0.53,0.2492
2020-12-22 17:26:36.853974,0,in_sample,0.55,0.2489
2020-12-22 17:26:37.001970,0,in_sample,0.56,0.2484
2020-12-22 17:26:37.121969,0,in_sample,0.52,0.2495
2020-12-22 17:26:37.271969,0,in_sample,0.56,0.2487
2020-12-22 17:26:37.425969,0,in_sample,0.47,0.2505
2020-12-22 17:26:37.563970,0,in_sample,0.57,0.248
2020-12-22 17:26:37.684479,0,in_sample,0.57,0.247
2020-12-22 17:26:37.809480,0,in_sample,0.49,0.2489
2020-12-22 17:26:37.940479,0,in_sample,0.56,0.2476
2020-12-22 17:26:38.074004,0,in_sample,0.57,0.2481
2020-12-22 17:26:38.212002,0,in_sample,0.57,0.2449
